eventname	eventdate	ordernum	contentabst	contact	presenter	jobid	postdate
Opening Ceremony of Inter-School Games	2017-07-27	1	Opening Speech	408952	374578	92098	2015-10-07
Opening Ceremony of Inter-School Games	2017-07-27	2	The Importance Of Eating Healthy Food	199557	374586	92120	2017-04-24
Opening Ceremony of the National School Games	2015-04-09	1	Opening Speech	680600	310	92172	2015-03-20
Opening Ceremony of the National School Games	2015-04-09	2	How to be happy being single.	26056	310	92172	2015-03-20
Opening Ceremony of the National School Games	2015-04-09	3	Different methods of strength training programs for revalidating patients. Ideas for informative speech topics on fitness:	25500	300	92117	2015-03-20
Opening Ceremony of the National School Games	2015-04-09	4	The importance of vitamins and minerals.	2660582	306	92179	2015-03-20
Opening Ceremony of the National School Games	2015-04-09	5	How bottled water is purified.	12490	300	92117	2015-03-20
Opening Ceremony of the National School Games	2015-04-09	6	What are the fastest growing careers?	3653	295	92111	2015-03-20
Opening Ceremony of the National School Games	2016-08-19	1	Opening Speech	25921	374588	92124	2016-08-07
Opening Ceremony of the National School Games	2016-08-19	2	Being a pacifist is equal to being naive.	2682300	454306	92134	2015-11-07
Opening Ceremony of the National School Games	2016-08-19	3	Interesting Tips For Developing A Business Organization	25800	374576	92114	2015-10-07
Opening Ceremony of the National School Games	2016-08-19	4	How to avoid toxic chemicals in food.	12423	374586	92122	2016-08-15
Opening Ceremony of the National School Games	2017-08-19	1	Opening Speech	3822547	374586	92120	2017-04-24
Opening Ceremony of the National School Games	2017-08-19	2	Product labeling.	2673041	374588	92128	2017-05-07
Opening Ceremony of the National School Games	2017-08-19	3	Plants, animals and organisms that live in the ocean.	3656	374588	92128	2017-05-07
Oracle Impact Innovation Summit	2015-11-20	1	Opening Speech	3274234	295	92111	2015-03-20
Oracle Impact Innovation Summit	2015-11-20	2	The history of special education over the past 30 years.	883276	374578	92098	2015-10-07
Oracle Impact Innovation Summit	2015-11-20	3	The benefits of making college free.	25706	374578	92098	2015-10-07
Oracle Impact Innovation Summit	2016-06-29	1	Opening Speech	25472	120336	92120	2015-06-08
Oracle Impact Innovation Summit	2017-11-11	1	Opening Speech	25628	2649564	92120	2017-09-22
Oracle Impact Innovation Summit	2017-11-11	2	The basics of getting a fellowship.	25842	295	92111	2015-03-20
Oracle Impact Innovation Summit	2017-11-11	3	What indigenous people should do to preserve their culture.	25523	374578	92117	2015-10-07
Patron of the Arts Awards	2016-02-22	1	Opening Speech	12475	374578	92098	2015-10-07
Patron of the Arts Awards	2016-02-22	2	Robots now and in the future.	2214290	454306	92134	2015-11-07
Patron of the Arts Awards	2016-02-22	3	The mental effort that intelligent writing necessitates.	2673083	374586	92175	2015-10-07
Patron of the Arts Awards	2017-04-16	1	Opening Speech	12794	374576	92114	2015-10-07
Patron of the Arts Awards	2017-04-16	2	The rising cost of education.	3048093	120336	92120	2015-06-08
Patron of the Arts Awards	2017-04-16	3	Time-saving fitness training tips for busy persons.	587279	374586	92122	2016-08-15
Patron of the Arts Awards	2017-04-16	4	In what way would financial progress be influenced if every citizen was able to grow their own nourishment?	25830	454306	92134	2015-11-07
Patron of the Arts Awards	2018-02-01	1	Opening Speech	34866	374576	92114	2015-10-07
Patron of the Arts Awards	2018-02-01	2	Easy Business Start-Ups That Require Few Resources	2895918	374588	92128	2017-05-07
Patron of the Arts Awards	2018-02-01	3	The effects of dietary health supplements on the long run are not certain.	12728	374578	92117	2015-10-07
Patron of the Arts Awards	2018-02-01	4	The impact of oil price fluctuations on the economy.	3566976	374578	92117	2015-10-07
Peter Lim Scholarship Award Ceremony	2016-07-17	1	Opening Speech	78567	374578	92117	2015-10-07
Peter Lim Scholarship Award Ceremony	2016-07-17	2	Philanthropy is the fundament of curiosity.	34770	374588	92132	2016-06-13
Peter Lim Scholarship Award Ceremony	2016-07-17	3	How to be happy being single.	323	120336	92120	2015-06-08
Peter Lim Scholarship Award Ceremony	2017-07-10	1	Opening Speech	730275	374578	92098	2015-10-07
Peter Lim Scholarship Award Ceremony	2017-07-10	2	Take a career break!	1309815	295	92111	2015-03-20
Peter Lim Scholarship Award Ceremony	2017-07-10	3	How the the Great Lakes formed.	2826317	295	92111	2015-03-20
Police Workplan Seminar	2015-12-19	1	Opening Speech	2392204	374588	92172	2015-10-07
Police Workplan Seminar	2015-12-19	2	Amazing, successful and funny trading stories with a twist, a bite, and a moral conclusion.	307749	374588	92172	2015-10-07
Police Workplan Seminar	2015-12-19	3	How Have Global Corporations Influenced People's Decisions?	26027	374586	92175	2015-10-07
Police Workplan Seminar	2015-12-19	4	The importance of vitamins and minerals.	25650	374586	92175	2015-10-07
Police Workplan Seminar	2015-12-19	5	Global climate change is not only caused by humans.	12553	454306	92134	2015-11-07
Police Workplan Seminar	2015-12-19	6	When should we go outsourcing to third parties and what must the Human Resources department be concerned with?	892680	374578	92098	2015-10-07
Police Workplan Seminar	2015-12-19	7	Robots now and in the future.	34796	374578	92117	2015-10-07
Police Workplan Seminar	2016-06-26	1	Opening Speech	2421592	295	92111	2015-03-20
Police Workplan Seminar	2016-06-26	2	Importance Of Mobile And Internet Banking	25960	374578	92117	2015-10-07
Police Workplan Seminar	2016-06-26	3	How to get a really good sleep.	12660	308	92122	2016-06-13
Police Workplan Seminar	2016-06-26	4	How To Punish Negligent Parents	2673020	374578	92117	2015-10-07
Police Workplan Seminar	2016-06-26	5	Strange Allergies and their symptoms and effects.	3741057	374586	92130	2016-06-13
Police Workplan Seminar	2017-07-08	1	Opening Speech	2460542	295	92111	2015-03-20
Police Workplan Seminar	2017-07-08	2	Animated violence does influence the attitude of young people.	26028	454306	92134	2015-11-07
Police Workplan Seminar	2017-07-08	3	Opportunities of internet advertising.	25883	374588	92128	2017-05-07
President's Young Talents Official Opening	2016-01-22	1	Opening Speech	1309803	374576	92114	2015-10-07
President's Young Talents Official Opening	2016-01-22	2	How to set goals and achieve them.	3497342	454306	92134	2015-11-07
President's Young Talents Official Opening	2016-01-22	3	What Role Does An Advertising Thesis Play In A Marketing Campaign	25934	374578	92117	2015-10-07
President's Young Talents Official Opening	2017-09-11	1	Opening Speech	2021913	374588	92128	2017-05-07
President's Young Talents Official Opening	2017-09-11	2	The importance of providing shelter to homeless veterans.	320378	374586	92120	2017-04-24
President's Young Talents Official Opening	2018-06-17	1	Opening Speech	1309918	3404254	92120	2018-05-07
President's Young Talents Official Opening	2018-06-17	2	The difference between hardware and software.	12540	454306	92134	2015-11-07
President's Young Talents Official Opening	2018-06-17	3	How the Earth was formed.	2834791	374578	92098	2015-10-07
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2016-05-02	1	Opening Speech	38771	374578	92098	2015-10-07
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2017-11-30	1	Opening Speech	2682373	295	92111	2015-03-20
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2017-11-30	2	What are the effects of self-harm?	12540	308	92122	2017-04-24
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2018-02-20	1	Opening Speech	320555	295	92111	2015-03-20
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2018-02-20	2	How to set and achieve unrealistic goals.	1309949	454306	92134	2015-11-07
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2018-02-20	3	How to manage mental illness.	2460545	374588	92128	2017-05-07
Project Management Institute Singapore Chapter Project of the Year Award Dinner	2018-02-20	4	The history of hello kitty.	3133373	2649564	92120	2017-09-22
PSC Scholarships Award Ceremony	2016-11-19	1	Opening Speech	34859	374586	92122	2016-08-15
PSC Scholarships Award Ceremony	2016-11-19	2	Overcoming your fear of public speaking.	12399	374588	92124	2016-08-07
PSC Scholarships Award Ceremony	2016-11-19	3	The different types of birth control.	883276	374578	92117	2015-10-07
PSC Scholarships Award Ceremony	2017-01-11	1	Opening Speech	3259314	295	92111	2015-03-20
PSC Scholarships Award Ceremony	2017-01-11	2	Irrigation Farming Techniques In The Middle East	560347	120336	92120	2015-06-08
PSC Scholarships Award Ceremony	2017-01-11	3	Increasing weight leads to increasing condition and risks.	3133334	374576	92114	2015-10-07
PSC Scholarships Award Ceremony	2017-01-11	4	Interesting Things You Didn't Know About The Human Brain	3426853	120336	92120	2015-06-08
PSC Scholarships Award Ceremony	2017-01-11	5	Importance Of Advertising For Any Business	25956	374588	92124	2016-08-07
PSC Scholarships Award Ceremony	2017-01-11	6	The evolution of the internet.	132919	374578	92117	2015-10-07
PSC Scholarships Award Ceremony	2017-01-11	7	The invention of pop rocks.	25647	374576	92114	2015-10-07
PSC Scholarships Award Ceremony	2018-03-23	1	Opening Speech	25561	2649564	92120	2017-09-22
PSC Scholarships Award Ceremony	2018-03-23	2	The prevalence of dangerous chemicals in the workplace.	2214282	308	92122	2017-04-24
PSC Scholarships Award Ceremony	2018-03-23	3	The benefits of being an organ donor.	25492	308	92122	2017-04-24
PSC Scholarships Award Ceremony	2018-03-23	4	Computers through the decades.	12806	374576	92114	2015-10-07
PSC Scholarships Award Ceremony	2018-03-23	5	The craziest scientists in history.	25490	2649564	92120	2017-09-22
PSC Scholarships Award Ceremony	2018-03-23	6	Big three men's salubriousness issues.	34848	2649564	92120	2017-09-22
Public Service Conference	2016-11-12	1	Opening Speech	26013	374578	92098	2015-10-07
Public Service Conference	2017-11-03	1	Opening Speech	25505	374578	92098	2015-10-07
Public Service Conference	2017-11-03	2	How to get a really good sleep.	3554772	374578	92117	2015-10-07
Public Service Conference	2017-11-03	3	Are We Losing Our Tropical Rain Forests?	3420	308	92122	2017-04-24
Public Service Conference	2018-06-17	1	Opening Speech	2834800	3404254	92120	2018-05-07
Public Service Conference	2018-06-17	2	The Seven Wonders of the Ancient World.	12796	374578	92117	2015-10-07
Public Service Conference	2018-06-17	3	How to survive working in a restaurant.	38761	374578	92117	2015-10-07
Public Service Engineering Conference	2016-10-24	1	Opening Speech	25801	454306	92134	2015-11-07
Public Service Engineering Conference	2016-10-24	2	Methods Of Determining The Most Effective And Appropriate Marketing Strategy	25815	120336	92120	2015-06-08
Public Service Engineering Conference	2016-10-24	3	How cellular phones work.	38762	374576	92114	2015-10-07
Public Service Engineering Conference	2016-10-24	4	How visual arts can be used for educational organizations.	12519	374586	92122	2016-08-15
Public Service Engineering Conference	2016-10-24	5	Opportunities of internet advertising.	1992964	374586	92122	2016-08-15
Public Service Engineering Conference	2017-05-26	1	Opening Speech	2682325	374586	92120	2017-04-24
Public Service Engineering Conference	2017-05-26	2	The fundamentals of logistics for oil and gas exploration.	12553	374586	92120	2017-04-24
Public Service Engineering Conference	2018-10-16	1	Opening Speech	25762	374578	92098	2015-10-07
Public Service Engineering Conference	2018-10-16	2	The Seven Wonders of the Ancient World.	25561	374576	92114	2015-10-07
Public Service Engineering Conference	2018-10-16	3	The importance of mathematics.	132563	374578	92117	2015-10-07
Public Service Leadership Dinner	2016-02-15	1	Opening Speech	155147	120336	92120	2015-06-08
Public Service Leadership Dinner	2016-02-15	2	The history of hello kitty.	25789	374578	92117	2015-10-07
Public Service Leadership Dinner	2016-02-15	3	How celiac disease affects our world.	2673027	374588	92172	2015-10-07
Public Service Leadership Dinner	2016-02-15	4	How the the Great Lakes formed.	26030	454306	92134	2015-11-07
Public Service Leadership Dinner	2016-02-15	5	How Are Human Activities Causing Landslides	25763	374586	92175	2015-10-07
Public Service Leadership Dinner	2016-02-15	6	Different methods of strength training programs for revalidating patients. Ideas for informative speech topics on fitness:	331	374578	92117	2015-10-07
Public Service Leadership Dinner	2017-06-28	1	Opening Speech	3321949	308	92122	2017-04-24
Public Service Leadership Dinner	2017-06-28	2	Unethical Advertising Content	25713	374586	92120	2017-04-24
Public Service Leadership Dinner	2017-06-28	3	Negative And Positive Effects Of Online Marketing	34792	295	92111	2015-03-20
Public Service Leadership Dinner	2017-06-28	4	What indigenous people should do to preserve their culture.	12584	295	92111	2015-03-20
Public Service Leadership Dinner	2018-02-26	1	Opening Speech	12558	374588	92128	2017-05-07
Public Service Leadership Dinner	2018-02-26	2	Best Online Jobs For All College Students	2174809	374576	92114	2015-10-07
Public Service Leadership Dinner	2018-02-26	3	Effective Methods Of Losing Weight Without Straining Your Body	25751	374588	92128	2017-05-07
Public Service Leadership Dinner	2018-02-26	4	How the the Great Lakes formed.	3640	295	92111	2015-03-20
Quality and Standards Conference 	2016-04-21	1	Opening Speech	78600	295	92111	2015-03-20
Quality and Standards Conference 	2016-04-21	2	The intelligence of dolphins.	467041	374578	92098	2015-10-07
Quality and Standards Conference 	2016-04-21	3	South-American tropical forests.	1309953	374578	92117	2015-10-07
Quality and Standards Conference 	2016-04-21	4	The effects of eating disorders.	38762	120336	92120	2015-06-08
Quality and Standards Conference 	2016-04-21	5	Unethical Advertising Content	2460545	374578	92098	2015-10-07
Quality and Standards Conference 	2016-04-21	6	Safety issues of nuclear power plants.	2834799	120336	92120	2015-06-08
Quality and Standards Conference 	2017-10-31	1	Opening Speech	25806	295	92111	2015-03-20
Quality and Standards Conference 	2018-01-05	1	Opening Speech	3027796	374578	92117	2015-10-07
Quality and Standards Conference 	2018-01-05	2	Smart debating techniques	25929	295	92111	2015-03-20
Quality and Standards Conference 	2018-01-05	3	How to set goals and achieve them.	165011	2649564	92120	2017-09-22
Regional Insolvency Conference 	2016-02-21	1	Opening Speech	34756	374578	92098	2015-10-07
Regional Insolvency Conference 	2016-02-21	2	Training and Development-strategic thinking, negotiation, communication, risk-taking.	65351	374578	92117	2015-10-07
Regional Insolvency Conference 	2016-02-21	3	Obesity is the next health risk for the western world.	307469	374578	92098	2015-10-07
Regional Insolvency Conference 	2016-02-21	4	How nuclear power works.	2649561	120336	92120	2015-06-08
Regional Insolvency Conference 	2016-02-21	5	A Scientific And Ethical Perspective On The Developments Of Human Cloning	1322457	120336	92120	2015-06-08
Regional Insolvency Conference 	2017-09-24	1	Opening Speech	12570	374578	92117	2015-10-07
Regional Insolvency Conference 	2017-09-24	2	Why Americans are so obese.	520303	374576	92114	2015-10-07
Regional Insolvency Conference 	2017-09-24	3	The benefits of online learning.	25485	2649564	92120	2017-09-22
Regional Insolvency Conference 	2017-09-24	4	Mental attitude affects the healing process.	38771	374588	92128	2017-05-07
Regional Insolvency Conference 	2017-09-24	5	Why we should wash our hands.	25563	374588	92128	2017-05-07
Regional Insolvency Conference 	2018-03-10	1	Opening Speech	3145522	454306	92134	2015-11-07
Regional Insolvency Conference 	2018-03-10	2	How to get a really good sleep.	1301162	374578	92098	2015-10-07
Regional Insolvency Conference 	2018-03-10	3	Disadvantages of raw food diets-the flip-side topics to talk about are the	12500	295	92111	2015-03-20
Regional Insolvency Conference 	2018-03-10	4	The latest discoveries in astronomy.	25944	374588	92128	2017-05-07
Regional Insolvency Conference 	2018-03-10	5	Human resources management in colleges.	12610	374576	92114	2015-10-07
Republic of Singapore Air Force (RSAF) Day	2015-06-01	1	Opening Speech	3435	300	92117	2015-03-20
Republic of Singapore Air Force (RSAF) Day	2015-06-01	2	The education system in Pakistan.	12429	306	92179	2015-03-20
Republic of Singapore Air Force (RSAF) Day	2015-06-01	3	How to be a good leader.	2086277	300	92098	2015-03-20
Republic of Singapore Air Force (RSAF) Day	2015-06-01	4	Why travel is beneficial to education.	34797	300	92117	2015-03-20
Republic of Singapore Air Force (RSAF) Day	2015-06-01	5	How to handle dissatisfied customers in a nice and polite way.	2818606	306	92179	2015-03-20
Republic of Singapore Air Force (RSAF) Day	2016-11-16	1	Opening Speech	3227553	374578	92117	2015-10-07
Republic of Singapore Air Force (RSAF) Day	2016-11-16	2	The effects of amyotrophic lateral sclerosis.	721201	295	92111	2015-03-20
Republic of Singapore Air Force (RSAF) Day	2016-11-16	3	How to determine your body fat percentage in three steps, and when are you in	789136	374586	92122	2016-08-15
Republic of Singapore Air Force (RSAF) Day	2016-11-16	4	How to avoid pesticides in vegetables.	25523	374586	92122	2016-08-15
Republic of Singapore Air Force (RSAF) Day	2016-11-16	5	What is the correct tipping etiquette?	3195246	454306	92134	2015-11-07
Republic of Singapore Air Force (RSAF) Day	2017-10-01	1	Opening Speech	2808407	295	92111	2015-03-20
Republic of Singapore Air Force (RSAF) Day	2017-10-01	2	Education is the master key to all.	883698	374578	92098	2015-10-07
Republic of Singapore Air Force (RSAF) Day	2017-10-01	3	The benefits of affirmation.	25534	308	92122	2017-04-24
Republic of Singapore Air Force (RSAF) Day	2017-10-01	4	Amazing, successful and funny trading stories with a twist, a bite, and a moral conclusion.	3083175	374578	92098	2015-10-07
Republic of Singapore Air Force (RSAF) Day	2017-10-01	5	How to set and achieve unrealistic goals.	199553	374578	92098	2015-10-07
Republic of Singapore Air Force (RSAF) Day	2017-10-01	6	The uses of dioramas for geography instruction.	2673077	2649564	92120	2017-09-22
River Hangbao Hackathon	2016-09-05	1	Opening Speech	12796	295	92111	2015-03-20
River Hangbao Hackathon	2016-09-05	2	The best cruise vacations.	3575054	295	92111	2015-03-20
River Hangbao Hackathon	2017-02-04	1	Opening Speech	25624	374586	92122	2016-08-15
River Hangbao Hackathon	2017-02-04	2	Why technology is a bad thing for growing minds.	2226959	374586	92122	2016-08-15
River Hangbao Hackathon	2017-02-04	3	Why global population keeps growing.	12747	454306	92134	2015-11-07
River Hangbao Hackathon	2018-10-12	1	Opening Speech	12665	295	92111	2015-03-20
River Hangbao Hackathon	2018-10-12	2	Plants, animals and organisms that live in the ocean.	3133373	454306	92134	2015-11-07
School of Law Commencement Ceremony	2015-12-26	1	Opening Speech	25510	454306	92134	2015-11-07
School of Law Commencement Ceremony	2015-12-26	2	When do babies start talking?	3259429	374578	92098	2015-10-07
School of Law Commencement Ceremony	2015-12-26	3	The different learning styles students have.	12770	374576	92114	2015-10-07
School of Law Commencement Ceremony	2015-12-26	4	Praise in public and criticize or punish in private.	3426790	374588	92172	2015-10-07
School of Law Commencement Ceremony	2015-12-26	5	Why underwater welding is dangerous.	12475	374588	92172	2015-10-07
School of Law Commencement Ceremony	2016-10-19	1	Opening Speech	25846	374586	92122	2016-08-15
School of Law Commencement Ceremony	2016-10-19	2	Herbal remedies that work for common diseases.	12552	374586	92122	2016-08-15
School of Law Commencement Ceremony	2016-10-19	3	Time-saving fitness training tips for busy persons.	2660561	454306	92134	2015-11-07
School of Law Commencement Ceremony	2016-10-19	4	A guide to different social media sites.	25771	374586	92122	2016-08-15
School of Law Commencement Ceremony	2016-10-19	5	The benefits of teamwork.	25516	120336	92120	2015-06-08
School of Law Commencement Ceremony	2016-10-19	6	Why oxygen is so important.	2236571	374576	92114	2015-10-07
School of Law Commencement Ceremony	2017-10-19	1	Opening Speech	2834781	374588	92128	2017-05-07
School of Law Commencement Ceremony	2017-10-19	2	What's The Role Of Increased Censorship When It Comes To Advertising	25513	374578	92098	2015-10-07
School of Law Commencement Ceremony	2017-10-19	3	The impacts of the cost and request of the commodities generated by farming and agriculture	748569	374588	92128	2017-05-07
School of Law Commencement Ceremony	2017-10-19	4	Are humans still evolving?	448865	295	92111	2015-03-20
Schools Work Plan Seminar	2015-08-20	1	Opening Speech	3239149	120338	92181	2015-06-08
Schools Work Plan Seminar	2015-08-20	2	Asthma solutions and natural remedies.	3624729	306	92179	2015-03-20
Schools Work Plan Seminar	2015-08-20	3	The health problems of children born drug addicted.	25494	120338	92181	2015-06-08
Schools Work Plan Seminar	2016-08-05	1	Opening Speech	3227556	120336	92120	2015-06-08
Schools Work Plan Seminar	2017-09-01	1	Opening Speech	2673095	308	92122	2017-04-24
Schools Work Plan Seminar	2017-09-01	2	Why college students should be careful about what they put on social media.	3648114	374586	92120	2017-04-24
Schools Work Plan Seminar	2017-09-01	3	Conflict Management Strategies In Global And Virtual Teams	78598	374576	92114	2015-10-07
Schools Work Plan Seminar	2017-09-01	4	The need for mandatory drug testing in our society.	12497	374586	92120	2017-04-24
Schools Work Plan Seminar	2017-09-01	5	The Importance Of Being A Vegetarian	3421	374588	92128	2017-05-07
Schools Work Plan Seminar	2017-09-01	6	How to overcome conflict.	12489	374578	92117	2015-10-07
Schools Work Plan Seminar	2017-09-01	7	The effects of fast food on the body.	25737	374578	92098	2015-10-07
Schools Work Plan Seminar	2017-09-01	8	Dental care how to prevent tooth decay.	12622	374578	92117	2015-10-07
Score Appreciation Awards Ceremony	2015-12-08	1	Opening Speech	2818614	120336	92120	2015-06-08
Score Appreciation Awards Ceremony	2015-12-08	2	Picking a name for your children.	2595854	374578	92117	2015-10-07
Score Appreciation Awards Ceremony	2015-12-08	3	Big three men's salubriousness issues.	25588	308	92170	2015-03-20
Score Appreciation Awards Ceremony	2015-12-08	4	Simple Methods Of Managing Your Limited Student Budget	186099	374586	92175	2015-10-07
Score Appreciation Awards Ceremony	2015-12-08	5	How To Look For The Most Suitable Jobs In Your Field	26024	295	92111	2015-03-20
Score Appreciation Awards Ceremony	2015-12-08	6	How technology has destroyed human interaction.	320446	308	92170	2015-03-20
Score Appreciation Awards Ceremony	2015-12-08	7	The significance of accounting studies	1309924	374578	92117	2015-10-07
Score Appreciation Awards Ceremony	2016-02-28	1	Opening Speech	3015871	374576	92114	2015-10-07
Score Appreciation Awards Ceremony	2016-02-28	2	The rising cost of education.	2660581	454306	92134	2015-11-07
Score Appreciation Awards Ceremony	2016-02-28	3	The reasons shops should be closed on Sunday.	457811	454306	92134	2015-11-07
Score Appreciation Awards Ceremony	2016-02-28	4	The history of global crime.	3180714	374588	92172	2015-10-07
Score Appreciation Awards Ceremony	2017-12-16	1	Opening Speech	12546	374588	92128	2017-05-07
Score Appreciation Awards Ceremony	2017-12-16	2	Fish In Seas Are Oceans Are No Longer In Large Numbers. Why?	173691	2649564	92120	2017-09-22
Score Appreciation Awards Ceremony	2017-12-16	3	Simple Techniques Of Avoiding Marketing Errors	25587	2649564	92120	2017-09-22
Score Appreciation Awards Ceremony	2017-12-16	4	The decline of interpersonal communication due to technology.	12435	374578	92098	2015-10-07
Score Appreciation Awards Ceremony	2017-12-16	5	Unique Selling Proposition and Unique Point or positioning statement.	2673087	374578	92098	2015-10-07
Score Appreciation Awards Ceremony	2017-12-16	6	What if your commercial or industrial enterprise grows too fast.	34841	454306	92134	2015-11-07
Score Appreciation Awards Ceremony	2017-12-16	7	Commercial activities and industrial research-do those two mix? Is that a happy marriage? Can you aim at synergy?	12787	295	92111	2015-03-20
Security Association Singapore's Annual Gala	2016-12-25	1	Opening Speech	320392	374588	92124	2016-08-07
Security Association Singapore's Annual Gala	2016-12-25	2	How to improve your conversation skills.	3133325	374586	92122	2016-08-15
Security Association Singapore's Annual Gala	2016-12-25	3	Time-saving fitness training tips for busy persons.	25894	374586	92122	2016-08-15
Security Association Singapore's Annual Gala	2016-12-25	4	How to stop memory loss.	1301424	374578	92098	2015-10-07
Security Association Singapore's Annual Gala	2017-10-17	1	Opening Speech	3644918	374576	92114	2015-10-07
Security Association Singapore's Annual Gala	2017-10-17	2	The importance of arts and languages in education.	25629	2649564	92120	2017-09-22
Security Association Singapore's Annual Gala	2017-10-17	3	How Charles Darwin changed the world.	12648	454306	92134	2015-11-07
Security Association Singapore's Annual Gala	2017-10-17	4	The steps that you need to take when you want to build a flourishing business	2595710	2649564	92120	2017-09-22
Security Association Singapore's Annual Gala	2017-10-17	5	How voice over IP works.	667839	454306	92134	2015-11-07
Security Association Singapore's Annual Gala	2017-10-17	6	The invention of pop rocks.	3063001	374588	92128	2017-05-07
Security Association Singapore's Annual Gala	2018-04-08	1	Opening Speech	25913	308	92122	2017-04-24
Security Association Singapore's Annual Gala	2018-04-08	2	Stretching exercises at the start of your day prevent injuries.	25632	374578	92098	2015-10-07
Security Association Singapore's Annual Gala	2018-04-08	3	How to cure and prevent hangovers.	12426	295	92111	2015-03-20
Security Association Singapore's Annual Gala	2018-04-08	4	In what way would financial progress be influenced if every citizen was able to grow their own nourishment?	3426790	308	92122	2017-04-24
Security Association Singapore's Annual Gala	2018-04-08	5	How to boost your self-esteem.	145763	374578	92098	2015-10-07
Security Association Singapore's Annual Gala	2018-04-08	6	The best new technologies.	2818636	374578	92098	2015-10-07
Security Association Singapore's Annual Gala	2018-04-08	7	The benefits of walking without shoes.	12509	374576	92114	2015-10-07
Sharity Day	2015-04-15	1	Opening Speech	38743	304	92177	2015-03-20
Sharity Day	2015-04-15	2	Quality control and tracking if everything went well as you planned it should be.	38719	298	92114	2015-03-20
Sharity Day	2015-04-15	3	The significance of accounting studies	3648	300	92117	2015-03-20
Sharity Day	2015-04-15	4	Irrigation Farming Techniques In The Middle East	12636	308	92170	2015-03-20
Sharity Day	2015-04-15	5	The Effects Of Divorce On Young Children	2660568	308	92170	2015-03-20
Sharity Day	2015-04-15	6	The history of the Pilates system that was very popular in the nineties.	3451	306	92179	2015-03-20
Sharity Day	2015-04-15	7	Conflict Management Strategies In Global And Virtual Teams	2673089	304	92177	2015-03-20
Sharity Day	2016-04-06	1	Opening Speech	34828	308	92170	2015-03-20
Sharity Day	2016-04-06	2	Warranties and refunds.	12629	308	92170	2015-03-20
Sharity Day	2016-04-06	3	How nuclear power works.	320524	374586	92175	2015-10-07
Sharity Day	2016-04-06	4	When do babies start talking?	1694636	374576	92114	2015-10-07
Sharity Day	2016-04-06	5	The history of aboriginals in Australia.	34748	374586	92175	2015-10-07
Sharity Day	2017-01-27	1	Opening Speech	2682280	374586	92122	2016-08-15
Sharity Day	2017-01-27	2	The Effects Of Demand And Price Of Various Agricultural Products	12510	120336	92120	2015-06-08
Sharity Day	2017-01-27	3	Local communities can contribute to maintenance of fragile ecosystems.	25903	374578	92117	2015-10-07
Sharity Day	2017-01-27	4	Warranties and refunds.	25862	374588	92124	2016-08-07
Sharity Day	2017-01-27	5	How to set and achieve unrealistic goals.	25937	295	92111	2015-03-20
Sharity Day	2017-01-27	6	The basics of getting a fellowship.	186176	120336	92120	2015-06-08
Sharity Day	2017-01-27	7	The significance of accounting studies	3145521	374578	92117	2015-10-07
Sharity Day	2017-01-27	8	Reducing The Illegal Cut-Down Of Trees	1322526	454306	92134	2015-11-07
Sharity Day	2017-01-27	9	Product labeling.	34758	374578	92117	2015-10-07
Shell's the Bright Ideas Challenge 	2015-09-05	1	Opening Speech	3321949	300	92098	2015-03-20
Shell's the Bright Ideas Challenge 	2015-09-05	2	The history of greyhound dogs.	2857167	300	92098	2015-03-20
Shell's the Bright Ideas Challenge 	2015-09-05	3	What Causes Obesity?	12802	295	92111	2015-03-20
Shell's the Bright Ideas Challenge 	2016-11-17	1	Opening Speech	3671394	374578	92098	2015-10-07
Shell's the Bright Ideas Challenge 	2016-11-17	2	Non-profit organizations that help families.	2174808	374586	92122	2016-08-15
Shell's the Bright Ideas Challenge 	2016-11-17	3	How Is Social Media Changing Our Lives	34855	120336	92120	2015-06-08
Shell's the Bright Ideas Challenge 	2016-11-17	4	Aspects of life the past that we want to keep, appreciate and enjoy and to pass on to our children.	12756	374586	92122	2016-08-15
Shell's the Bright Ideas Challenge 	2016-11-17	5	Importance Of Using Academic Writing Services	12495	374586	92122	2016-08-15
Shell's the Bright Ideas Challenge 	2017-01-17	1	Opening Speech	3422	374588	92124	2016-08-07
SIM University Convocation Ceremony	2015-08-15	1	Opening Speech	2595657	298	92114	2015-03-20
SIM University Convocation Ceremony	2015-08-15	2	How to avoid pesticides in vegetables.	3764099	308	92170	2015-03-20
SIM University Convocation Ceremony	2015-08-15	3	Income tax for a sole trader explained.	417866	304	92177	2015-03-20
SIM University Convocation Ceremony	2016-07-19	1	Opening Speech	34847	454306	92134	2015-11-07
SIM University Convocation Ceremony	2016-07-19	2	The Maslow's hierarchy of needs theory.	2240955	374586	92130	2016-06-13
SIM University Convocation Ceremony	2017-09-08	1	Opening Speech	12749	374586	92120	2017-04-24
SIM University Convocation Ceremony	2017-09-08	2	The benefits of having free textbooks.	25619	454306	92134	2015-11-07
SIM University Convocation Ceremony	2017-09-08	3	How Do You Organize Your Working Day	34839	374586	92120	2017-04-24
